
2022-06-23 08:12:39
Plan_ID, Duration, Railing_min, Railing_max, Railing_mean, Exposure_min, Exposure_max, Exposure_mean
Plan_S_0, 145, 0, 42.75, 11.02, 0, 1.0, 0.02
Plan_S_1, 83, 0, 100.32, 53.57, 0, 1.0, 0.22
Plan_S_2, 83, 0, 100.32, 53.57, 0, 1.0, 0.22
Plan_S_3, 145, 0, 42.75, 11.02, 0, 1.0, 0.02
Plan_S_4, 94, 0, 70.05, 42.9, 0, 1.0, 0.25
Plan_S_5, 90, 0, 77.8, 41.32, 0, 1.0, 0.17
Plan_D_0, 86, 0, 79.15, 43.71, 0, 1.0, 0.37
Plan_D_1, 86, 0, 64.92, 33.74, 0, 1.0, 0.38
Plan_D_10, 44, 0, 59.15, 33.63, 0, 1.0, 0.36
Plan_D_11, 86, 0, 60.37, 33.13, 0, 1.0, 0.33
Plan_D_12, 87, 0, 72.96, 37.78, 0, 1.0, 0.33
Plan_D_13, 84, 0, 73.73, 46.39, 0, 1.0, 0.43
Plan_D_14, 83, 0, 66.88, 39.48, 0, 1.0, 0.33
Plan_D_15, 89, 0, 70.05, 36.57, 0, 1.0, 0.3
Plan_D_16, 81, 0, 80.71, 48.82, 0, 1.0, 0.41
Plan_D_17, 86, 0, 59.92, 36.9, 0, 1.0, 0.32
Plan_D_18, 83, 0, 69.02, 44.97, 0, 1.0, 0.4
Plan_D_19, 87, 0, 59.02, 34.64, 0, 1.0, 0.34
Plan_D_2, 87, 0, 86.03, 46.71, 0, 1.0, 0.37
Plan_D_20, 92, 0, 82.96, 51.31, 0, 1.0, 0.35
Plan_D_21, 86, 0, 73.28, 42.28, 0, 1.0, 0.38
Plan_D_22, 88, 0, 86.03, 50.53, 0, 1.0, 0.37
Plan_D_23, 84, 0, 82.96, 48.5, 0, 1.0, 0.39
Plan_D_24, 95, 0, 67.51, 39.7, 0, 1.0, 0.31
Plan_D_25, 87, 0, 87.25, 49.59, 0, 1.0, 0.37
Plan_D_26, 83, 0, 98.75, 50.41, 0, 1.0, 0.33
Plan_D_27, 82, 0, 85.26, 47.52, 0, 1.0, 0.39
Plan_D_28, 92, 0, 54.92, 26.96, 0, 1.0, 0.24
Plan_D_29, 91, 0, 73.25, 42.47, 0, 1.0, 0.27
Plan_D_3, 88, 0, 63.7, 36.85, 0, 1.0, 0.33
Plan_D_30, 88, 0, 109.81, 62.01, 0, 1.0, 0.39
Plan_D_31, 90, 0, 91.19, 56.17, 0, 1.0, 0.37
Plan_D_32, 87, 0, 96.77, 57.02, 0, 1.0, 0.34
Plan_D_33, 90, 0, 97.51, 59.63, 0, 1.0, 0.38
Plan_D_34, 99, 0, 104.07, 63.95, 0, 1.0, 0.4
Plan_D_35, 92, 0, 93.15, 53.94, 0, 1.0, 0.33
Plan_D_36, 82, 0, 85.42, 46.34, 0, 1.0, 0.36
Plan_D_37, 85, 0, 73.25, 42.46, 0, 1.0, 0.3
Plan_D_38, 88, 0, 93.41, 50.87, 0, 1.0, 0.29
Plan_D_39, 92, 0, 77.06, 46.58, 0, 1.0, 0.33
Plan_D_4, 83, 0, 81.9, 48.19, 0, 1.0, 0.37
Plan_D_40, 93, 0, 105.74, 56.55, 0, 1.0, 0.37
Plan_D_41, 92, 0, 65.5, 43.06, 0, 1.0, 0.19
Plan_D_42, 95, 0, 74.31, 48.0, 0, 1.0, 0.33
Plan_D_43, 90, 0, 81.32, 47.76, 0, 1.0, 0.33
Plan_D_44, 88, 0, 94.36, 42.44, 0, 1.0, 0.3
Plan_D_45, 97, 0, 139.86, 71.28, 0, 1.0, 0.29
Plan_D_46, 94, 0, 99.65, 61.68, 0, 1.0, 0.3
Plan_D_47, 91, 0, 95.71, 53.56, 0, 1.0, 0.27
Plan_D_48, 88, 0, 94.31, 56.63, 0, 1.0, 0.36
Plan_D_49, 91, 0, 105.26, 54.41, 0, 1.0, 0.39
Plan_D_5, 86, 0, 86.93, 51.33, 0, 1.0, 0.36
Plan_D_50, 86, 0, 103.3, 56.17, 0, 1.0, 0.31
Plan_D_51, 95, 0, 75.5, 45.62, 0, 1.0, 0.29
Plan_D_52, 92, 0, 81.61, 44.45, 0, 1.0, 0.25
Plan_D_53, 94, 0, 80.55, 53.92, 0, 1.0, 0.22
Plan_D_54, 107, 0, 78.15, 43.33, 0, 1.0, 0.34
Plan_D_55, 89, 0, 101.96, 51.95, 0, 1.0, 0.27
Plan_D_56, 94, 0, 60.37, 38.35, 0, 1.0, 0.32
Plan_D_57, 96, 0, 116.21, 57.71, 0, 1.0, 0.3
Plan_D_58, 98, 0, 120.26, 66.01, 0, 1.0, 0.31
Plan_D_59, 98, 0, 85.71, 54.46, 0, 1.0, 0.36
Plan_D_6, 98, 0, 87.35, 55.05, 0, 1.0, 0.27
Plan_D_60, 95, 0, 117.56, 64.6, 0, 1.0, 0.26
Plan_D_61, 96, 0, 106.9, 56.75, 0, 1.0, 0.23
Plan_D_7, 51, 0, 54.92, 27.45, 0, 1.0, 0.27
Plan_D_8, 51, 0, 54.92, 27.45, 0, 1.0, 0.27
Plan_D_9, 44, 0, 59.6, 32.25, 0, 1.0, 0.35
